# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.556000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	4.459099e-05	9.913469e-04	1.841237e-04	1.366528e-04	4.747084e-05
1             	1.777932e+00	1.133779e+00	8.376436e+00	5.966150e+00	2.410286e+00
2             	1.361787e+00	8.750293e-01	6.692327e+00	4.707951e+00	1.984376e+00
3             	-2.792909e-01	-7.816626e-02	-5.279128e-01	-5.432473e-01	1.533451e-02
4             	-1.179952e+00	-5.984271e-01	-4.803218e+00	-3.581561e+00	-1.221657e+00
5             	-9.375117e-01	-4.578720e-01	-4.006186e+00	-2.940604e+00	-1.065581e+00
6             	-7.896909e-03	3.521217e-02	-2.139601e-01	-1.148770e-01	-9.908315e-02
7             	6.213728e-01	3.400305e-01	2.527645e+00	1.885195e+00	6.424497e-01
8             	5.592553e-01	2.887818e-01	2.401727e+00	1.760119e+00	6.416084e-01
9             	5.480146e-02	4.312158e-02	4.380365e-01	2.738197e-01	1.642168e-01
10            	-4.006167e-01	-1.370312e-01	-1.453438e+00	-1.127336e+00	-3.261025e-01
11            	-4.389396e-01	-1.305822e-01	-1.731426e+00	-1.304653e+00	-4.267736e-01
12            	-2.044412e-01	-2.404855e-02	-9.428767e-01	-6.758795e-01	-2.669972e-01
13            	1.037124e-01	6.992433e-02	1.887455e-01	1.980851e-01	-9.339679e-03
14            	2.358028e-01	8.077983e-02	7.141907e-01	5.928982e-01	1.212925e-01
15            	1.513535e-01	3.648808e-02	4.499728e-01	3.763399e-01	7.363290e-02
16            	-2.928796e-02	-7.594849e-03	-1.609625e-01	-1.097692e-01	-5.119326e-02
17            	-1.564206e-01	-1.569201e-02	-6.058294e-01	-4.593353e-01	-1.464941e-01
18            	-1.385565e-01	1.657830e-03	-5.651130e-01	-4.211130e-01	-1.440000e-01
19            	-4.105249e-02	1.842693e-02	-2.555184e-01	-1.688117e-01	-8.670671e-02
20            	6.524177e-02	1.901651e-02	1.069091e-01	1.186963e-01	-1.178723e-02
21            	8.053112e-02	1.176085e-02	1.879494e-01	1.745058e-01	1.344358e-02
22            	4.953907e-02	5.547660e-03	1.514707e-01	1.252744e-01	2.619630e-02
23            	-6.089811e-03	8.641444e-03	3.761023e-02	1.271530e-02	2.489493e-02
24            	-3.363551e-02	1.475406e-02	-2.254068e-02	-4.490585e-02	2.236518e-02
25            	-3.979671e-02	1.899185e-02	-3.777838e-02	-5.868590e-02	2.090752e-02
26            	-2.965219e-02	1.784170e-02	-1.861636e-02	-3.896037e-02	2.034401e-02
27            	-1.464651e-02	1.370168e-02	2.347233e-02	-2.910345e-03	2.638268e-02
28            	4.461598e-03	8.924995e-03	9.146582e-02	5.019451e-02	4.127131e-02
29            	1.670187e-02	7.418424e-03	1.536031e-01	9.350343e-02	6.009968e-02
30            	1.737294e-02	9.164328e-03	1.830653e-01	1.089056e-01	7.415969e-02
31            	9.676910e-03	1.224858e-02	1.833206e-01	1.013372e-01	8.198341e-02
32            	-5.430816e-03	1.496048e-02	1.518927e-01	7.051551e-02	8.137714e-02
33            	-1.928079e-02	1.543415e-02	1.090545e-01	3.524644e-02	7.380803e-02
34            	-2.434442e-02	1.399927e-02	8.439027e-02	1.785071e-02	6.653956e-02
35            	-2.117696e-02	1.196299e-02	8.349581e-02	2.057095e-02	6.292486e-02
36            	-1.122128e-02	1.019221e-02	1.067188e-01	4.213812e-02	6.458069e-02
37            	-2.082660e-04	9.433291e-03	1.411901e-01	7.038676e-02	7.080330e-02
38            	5.389893e-03	9.637070e-03	1.654529e-01	8.811635e-02	7.733656e-02
39            	4.701128e-03	1.014176e-02	1.723251e-01	9.086369e-02	8.146143e-02
40            	-5.414510e-04	1.054108e-02	1.642354e-01	8.157626e-02	8.265916e-02
41            	-7.309736e-03	1.076516e-02	1.478543e-01	6.661739e-02	8.123687e-02
42            	-1.207099e-02	1.088308e-02	1.327669e-01	5.431248e-02	7.845445e-02
43            	-1.323142e-02	1.097482e-02	1.251526e-01	4.934486e-02	7.580771e-02
44            	-1.101224e-02	1.099855e-02	1.242965e-01	5.113601e-02	7.316050e-02
45            	-8.155469e-03	1.081965e-02	1.300771e-01	5.688306e-02	7.319400e-02
46            	-5.188903e-03	1.026387e-02	1.387092e-01	6.416568e-02	7.454349e-02
47            	-3.101875e-03	9.434976e-03	1.472077e-01	7.050196e-02	7.670571e-02
48            	-1.641845e-03	8.412416e-03	1.563479e-01	7.653210e-02	7.981579e-02
49            	-2.636568e-03	8.233876e-03	1.568247e-01	7.577577e-02	8.104891e-02
50            	-4.324551e-03	8.677705e-03	1.529538e-01	7.215234e-02	8.080144e-02
51            	-6.589866e-03	9.561808e-03	1.457323e-01	6.627630e-02	7.945603e-02
52            	-9.313319e-03	1.054776e-02	1.352443e-01	5.830885e-02	7.693548e-02
53            	-9.319731e-03	1.050221e-02	1.331623e-01	5.726141e-02	7.590088e-02
54            	-7.857792e-03	9.817193e-03	1.366140e-01	6.044920e-02	7.616478e-02
55            	-4.049882e-03	8.294961e-03	1.482270e-01	7.006364e-02	7.816340e-02
56            	-2.014736e-03	7.565648e-03	1.562645e-01	7.611753e-02	8.014700e-02
57            	-2.533177e-03	7.865936e-03	1.573390e-01	7.613630e-02	8.120266e-02
58            	-5.093587e-03	8.838558e-03	1.515791e-01	7.069594e-02	8.088311e-02
59            	-6.622506e-03	9.360916e-03	1.470865e-01	6.692076e-02	8.016578e-02
60            	-7.881415e-03	9.516155e-03	1.419403e-01	6.308875e-02	7.885158e-02
61            	-7.398462e-03	9.008941e-03	1.418477e-01	6.352540e-02	7.832233e-02
62            	-6.206040e-03	8.477576e-03	1.451892e-01	6.638855e-02	7.880063e-02
63            	-4.242399e-03	7.901107e-03	1.521246e-01	7.181991e-02	8.030471e-02
64            	-3.872604e-03	7.884229e-03	1.544419e-01	7.334835e-02	8.109356e-02
65            	-4.512312e-03	8.304057e-03	1.541386e-01	7.255697e-02	8.158159e-02
66            	-5.505358e-03	8.662232e-03	1.517196e-01	7.035444e-02	8.136516e-02
67            	-6.333197e-03	8.782847e-03	1.489307e-01	6.813215e-02	8.079855e-02
68            	-6.618551e-03	8.650544e-03	1.474923e-01	6.712760e-02	8.036470e-02
69            	-6.431118e-03	8.398978e-03	1.476907e-01	6.741421e-02	8.027645e-02
70            	-5.782450e-03	8.051878e-03	1.496467e-01	6.904091e-02	8.060581e-02
71            	-5.129630e-03	7.904450e-03	1.521763e-01	7.095853e-02	8.121779e-02
72            	-4.947217e-03	7.989663e-03	1.534071e-01	7.175632e-02	8.165076e-02
73            	-5.120842e-03	8.151532e-03	1.533634e-01	7.156087e-02	8.180255e-02
74            	-5.596451e-03	8.354898e-03	1.522762e-01	7.054164e-02	8.173455e-02
75            	-6.105444e-03	8.429944e-03	1.507292e-01	6.925914e-02	8.147003e-02
76            	-6.257843e-03	8.336798e-03	1.500828e-01	6.878355e-02	8.129924e-02
77            	-6.124118e-03	8.188414e-03	1.503617e-01	6.905674e-02	8.130498e-02
78            	-5.849538e-03	8.029019e-03	1.511870e-01	6.974396e-02	8.144303e-02
79            	-5.538280e-03	7.925361e-03	1.523488e-01	7.063613e-02	8.171269e-02
80            	-5.444865e-03	7.948939e-03	1.529783e-01	7.104430e-02	8.193403e-02
81            	-5.592094e-03	8.045536e-03	1.528240e-01	7.081989e-02	8.200407e-02
82            	-5.865817e-03	8.151082e-03	1.521959e-01	7.023213e-02	8.196377e-02
83            	-6.198320e-03	8.220879e-03	1.512741e-01	6.943871e-02	8.183535e-02
84            	-6.419991e-03	8.208008e-03	1.505717e-01	6.886587e-02	8.170585e-02
85            	-6.452429e-03	8.130795e-03	1.504181e-01	6.875663e-02	8.166149e-02
86            	-6.367149e-03	8.039065e-03	1.506770e-01	6.897138e-02	8.170567e-02
87            	-6.270086e-03	7.973243e-03	1.510639e-01	6.926189e-02	8.180206e-02
88            	-6.248778e-03	7.957227e-03	1.512994e-01	6.940092e-02	8.189848e-02
89            	-6.338140e-03	7.985583e-03	1.512422e-01	6.928295e-02	8.195923e-02
90            	-6.554697e-03	8.045468e-03	1.508062e-01	6.884840e-02	8.195780e-02
91            	-6.842446e-03	8.102052e-03	1.500659e-01	6.819052e-02	8.187541e-02
92            	-7.063464e-03	8.115967e-03	1.494023e-01	6.763771e-02	8.176464e-02
93            	-7.163248e-03	8.091713e-03	1.490592e-01	6.736635e-02	8.169285e-02
94            	-7.205291e-03	8.048876e-03	1.489093e-01	6.724937e-02	8.165996e-02
95            	-7.237021e-03	8.001844e-03	1.488500e-01	6.718796e-02	8.166200e-02
96            	-7.293053e-03	7.973857e-03	1.487880e-01	6.710096e-02	8.168707e-02
97            	-7.396519e-03	7.978046e-03	1.486135e-01	6.691022e-02	8.170326e-02
98            	-7.551932e-03	8.006786e-03	1.482596e-01	6.657785e-02	8.168172e-02
99            	-7.745001e-03	8.042241e-03	1.477382e-01	6.612411e-02	8.161411e-02
100           	-7.935286e-03	8.064255e-03	1.471643e-01	6.564688e-02	8.151745e-02
101           	-8.080755e-03	8.063268e-03	1.466906e-01	6.526455e-02	8.142606e-02
102           	-8.181185e-03	8.045543e-03	1.463519e-01	6.499476e-02	8.135713e-02
103           	-8.256615e-03	8.021946e-03	1.461094e-01	6.479810e-02	8.131133e-02
104           	-8.323466e-03	8.004985e-03	1.459181e-01	6.463557e-02	8.128251e-02
105           	-8.395905e-03	8.002065e-03	1.457196e-01	6.446388e-02	8.125569e-02
106           	-8.486269e-03	8.011865e-03	1.454608e-01	6.424411e-02	8.121665e-02
107           	-8.613435e-03	8.031497e-03	1.450753e-01	6.392420e-02	8.115107e-02
108           	-8.768980e-03	8.053061e-03	1.445730e-01	6.351750e-02	8.105546e-02
109           	-8.904507e-03	8.064440e-03	1.441001e-01	6.314552e-02	8.095454e-02
110           	-8.989836e-03	8.062623e-03	1.437672e-01	6.289376e-02	8.087343e-02
111           	-9.037472e-03	8.053740e-03	1.435510e-01	6.273802e-02	8.081297e-02
112           	-9.075148e-03	8.043184e-03	1.433655e-01	6.260758e-02	8.075788e-02
113           	-9.118990e-03	8.035664e-03	1.431618e-01	6.246191e-02	8.069989e-02
114           	-9.175410e-03	8.035228e-03	1.429224e-01	6.228581e-02	8.063663e-02
115           	-9.242628e-03	8.042758e-03	1.426507e-01	6.208273e-02	8.056799e-02
116           	-9.311912e-03	8.055275e-03	1.423672e-01	6.187167e-02	8.049550e-02
